term,coef,std_err,p_value
Intercept,-4.1813749460932925,2.0045581846386287,0.03734056871381115
C(primary_asset_type)[T.Industrial],-1.263483320293442,0.0887116990158065,1.1195085416733695e-40
C(primary_asset_type)[T.Retail],-0.5567185708945309,0.08876995743887856,6.206960082264119e-10
C(primary_asset_type)[T.Mixed Use],-0.13079996736989435,0.1196294021303529,0.27459886264411437
C(primary_asset_type)[T.Hotel],-0.14544191924606162,0.2179600290188567,0.5048052609381329
C(primary_asset_type)[T.Niche],-0.5884484494071448,0.17100631373231862,0.0006132408771859205
C(primary_asset_type)[T.Residential],-0.2953413292735455,0.2390910194502496,0.21713903994566133
C(primary_asset_type)[T.Land],-0.9922844506711104,0.25634661434942224,0.00011842946917679811
C(country_group)[T.Netherlands],-0.624500041282526,0.13534660268416038,4.683610565592692e-06
C(country_group)[T.Spain],-0.10234883294649262,0.15376008559363782,0.5058572403190905
C(country_group)[T.Germany],-0.06450074916834503,0.19281694471158217,0.7380873233271229
C(country_group)[T.France],0.10335850239256718,0.16456306992634248,0.530154294107762
C(country_group)[T.Other Europe],-0.1769812851849965,0.09398729174511777,0.06010372792639807
log_total_size_sqm,0.8005760508391647,0.029445157588668173,3.722373686987375e-112
log_index_value,0.15639106213212003,0.3593488419215628,0.6635443961261368
