term,coef,std_err,p_value
Intercept,-4.220959790764905,2.0853236592991315,0.04335163721865667
C(primary_asset_type)[T.Industrial],-1.275172696422601,0.08777667109516832,8.607040099581561e-42
C(primary_asset_type)[T.Retail],-0.5652257619714932,0.08770705195881481,2.2113499792393009e-10
C(primary_asset_type)[T.Mixed Use],-0.1345377206523809,0.11823225897840588,0.2555628177870588
C(primary_asset_type)[T.Hotel],-0.14076344425464773,0.21578913529256014,0.5144178642183712
C(primary_asset_type)[T.Residential],-0.28929667922864255,0.23754855209548098,0.2237106991643406
C(country_group)[T.Netherlands],-0.656799373362479,0.1362150725563513,1.760558994303157e-06
C(country_group)[T.Spain],-0.09819779627793995,0.15752673236996653,0.5332511174633571
C(country_group)[T.Germany],-0.12658141494619193,0.19717304372864092,0.5211039008856392
C(country_group)[T.France],0.02252708563713056,0.16947685134639934,0.8942953436140471
C(country_group)[T.Other Europe],-0.19502162449869262,0.09578007528185585,0.04212736605754626
log_total_size_sqm,0.8138929924707249,0.029823107571531893,5.464231332829194e-111
log_index_value,0.1446779209563452,0.3730992639721635,0.6983064424756725
