term,coef,std_err,p_value
Intercept,-4.397699308690184,2.018881166220421,0.029731175868507043
C(primary_asset_type)[T.Industrial],-1.26502691767733,0.08497993456187011,1.5597906955215826e-43
C(primary_asset_type)[T.Retail],-0.5556871528108485,0.08491253362745599,1.185488334645996e-10
C(primary_asset_type)[T.Mixed Use],-0.1371415876915497,0.11446514780896118,0.2312968049857907
C(primary_asset_type)[T.Hotel],-0.15098849476108048,0.20891367111020118,0.4700959226070751
C(primary_asset_type)[T.Residential],-0.3002295325955466,0.229979790307315,0.19218219053953817
C(country_group)[T.Netherlands],-0.6707309868815174,0.13187499375123032,4.7445763811231756e-07
C(country_group)[T.Spain],-0.09650189957963445,0.15250762237304585,0.5271002753516213
C(country_group)[T.Germany],-0.11730469113923839,0.19089072465801202,0.5390845617680797
C(country_group)[T.France],0.03284049246978703,0.16407698717070132,0.8414214304909995
C(country_group)[T.Other Europe],-0.19591136293781528,0.09272833462729868,0.03499020180868793
log_total_size_sqm,0.8235232608146904,0.02887288499597586,6.444236603182996e-118
log_index_value,0.15997710665545525,0.361211591210385,0.6579874081051444
