term,coef,std_err,p_value
Intercept,-3.509499342139635,0.2663656601615177,2.0416516630273906e-35
C(primary_asset_type)[T.Industrial],-1.271317273817022,0.08519517518660832,1.0979116383784504e-43
C(primary_asset_type)[T.Retail],-0.5613686375883005,0.08508738133152154,8.492799879656739e-11
C(primary_asset_type)[T.Mixed Use],-0.1461184272908918,0.1141502759717889,0.20096943994557576
C(primary_asset_type)[T.Hotel],-0.16081408576358455,0.2089625149004623,0.44181827460959666
C(primary_asset_type)[T.Residential],-0.2996352897008873,0.2270579953629524,0.18740527558552791
C(country_group)[T.Netherlands],-0.6373803864797734,0.11737798808475032,7.882654909156596e-08
C(country_group)[T.Spain],-0.12617901584982347,0.14418157396165018,0.3818115201904777
C(country_group)[T.Germany],-0.17667678875629708,0.14106874976730607,0.21085522396278802
C(country_group)[T.France],0.018377994383003707,0.14627523513729818,0.9000547298484415
C(country_group)[T.Other Europe],-0.1932628092869822,0.09172938754016231,0.03549913204484958
C(model_year_effect)[T.2022],0.05812842663869483,0.08325829471277708,0.4853132480378822
C(model_year_effect)[T.2023],-0.08401333910772078,0.10978283113929271,0.44438117269499205
C(model_year_effect)[T.2024],-0.04821924247901095,0.10128517475402267,0.6341768275061893
C(model_year_effect)[T.2025],0.10061835306230138,0.09793767551248733,0.30461643375266184
log_total_size_sqm,0.8218306099855384,0.029008478111493586,1.1061127674988301e-116
