term,coef,std_err,p_value
Intercept,-3.9535120194839988,0.4575898942208746,4.17130997983293e-17
C(primary_asset_type)[T.Industrial],-1.1870773597588908,0.7067908191004579,0.09351823850318496
C(primary_asset_type)[T.Retail],0.1462521598027504,0.6654152571811746,0.8261015255475651
C(primary_asset_type)[T.Mixed Use],1.292302734272234,0.8495342294858029,0.1286875612207714
C(primary_asset_type)[T.Hotel],-0.27272656517610505,2.4392993768573996,0.9110115339322391
C(primary_asset_type)[T.Residential],1.5170235893405999,1.8539797615029079,0.4135061169157483
C(country_group)[T.Netherlands],-0.623985703201822,0.11795925488851573,1.6636072131036921e-07
C(country_group)[T.Spain],-0.14069794125091578,0.14514336351415624,0.3327119467823134
C(country_group)[T.Germany],-0.17153825398755407,0.14219978986522294,0.22812364328465554
C(country_group)[T.France],0.018686561080871814,0.1477711200197414,0.8994091125591666
C(country_group)[T.Other Europe],-0.19512147751483225,0.09228523281738091,0.03485861013522523
C(model_year_effect)[T.2022],0.07620935155879877,0.0838369003638735,0.3636693180425764
C(model_year_effect)[T.2023],-0.08910312220631748,0.11018433000386313,0.41899231755786814
C(model_year_effect)[T.2024],-0.04570246359904307,0.10151289117933378,0.6527033075586189
C(model_year_effect)[T.2025],0.10806289761894135,0.09861511120853819,0.273560961113303
log_total_size_sqm,0.87084871388623,0.050486043745063595,2.2160465953141012e-55
log_total_size_sqm:C(primary_asset_type)[T.Industrial],-0.012197455851605008,0.07537711867286026,0.8714974813015006
log_total_size_sqm:C(primary_asset_type)[T.Retail],-0.07815841510483691,0.07251490891299707,0.2815024702506965
log_total_size_sqm:C(primary_asset_type)[T.Mixed Use],-0.15856660220474855,0.09278919755947809,0.08793777904709897
log_total_size_sqm:C(primary_asset_type)[T.Hotel],0.009380080332021264,0.2582655151856406,0.9710384824694818
log_total_size_sqm:C(primary_asset_type)[T.Residential],-0.21469800557502325,0.22057893639685805,0.3307389252441516
