term,coef,std_err,p_value
Intercept,-4.3027321649512364,0.7305135180382625,1.1580860641232202e-08
C(primary_asset_type)[T.Industrial],-1.3386905676702914,1.3546765780425511,0.3239496755906107
C(primary_asset_type)[T.Retail],0.25307947994338986,1.1782353306952953,0.8300908375510242
C(primary_asset_type)[T.Mixed Use],0.9259355992166004,1.519794207527658,0.542876374531511
C(primary_asset_type)[T.Hotel],0.20303963636793476,2.7317415005288495,0.9408065800576406
C(primary_asset_type)[T.Residential],-0.9470254819290049,2.7884247753523215,0.7344041339143991
C(country_group)[T.Spain],0.48949804256260476,0.1906242841963647,0.010777273146160962
C(country_group)[T.Germany],0.40964587482232284,0.18584891949886267,0.02836451863283009
C(country_group)[T.France],0.6689290273584299,0.1927063164513315,0.0006040256482239467
C(country_group)[T.Other Europe],0.4280132312538866,0.14788955595545927,0.004115896037587319
C(model_year_effect)[T.2022],-0.028329044336561415,0.1371083281605201,0.8364657006241565
C(model_year_effect)[T.2023],-0.15911980492233765,0.1958542603220085,0.41726307039253246
C(model_year_effect)[T.2024],-0.20302785431311796,0.16531473246912498,0.2204799746311907
C(model_year_effect)[T.2025],0.014244966486102253,0.18214189787319432,0.9377211200372219
log_total_size_sqm,0.8377436301638935,0.07900741481422346,3.746719326181482e-22
log_total_size_sqm:C(primary_asset_type)[T.Industrial],0.01861013274783148,0.13776562272437226,0.8926460845243022
log_total_size_sqm:C(primary_asset_type)[T.Retail],-0.05467303019950809,0.12274513207148326,0.6563778130052887
log_total_size_sqm:C(primary_asset_type)[T.Mixed Use],-0.10709497995941644,0.1597893763714528,0.5032930543046035
log_total_size_sqm:C(primary_asset_type)[T.Hotel],-0.019204529355358574,0.28750310168369553,0.9467927911101388
log_total_size_sqm:C(primary_asset_type)[T.Residential],0.08077328622929233,0.3241297304651723,0.8033972989845286
